Concept ID,Concept Name,Industry,Problem Area,Target User,Delivery Complexity (1-10),Strategic Fit (1-10),Customer ID,Segment,Demo Date,Feedback Score (1-10),Follow-Up Requested,Decision Maker Present,Objections Count,Trial Sessions,Feature Clicks,Repeat Usage Days,Active Users,Time Spent (min),Abandoned Features,Pilot Interest (1-10),Urgency Score (1-10),Budget Signal (1-10),Willingness To Pay (%),Expected Value ($),Implementation Risk (1-10),Customer Comments,Pain Point Statements,Objection Themes,Requested Capabilities,Commercial Outcome
CPT-1017,Compliance Monitoring Assistant 17,EdTech,Personalization,IT Admin,8,6.0,CUST-2017,Startup,2024-02-17,5.1,1,0.0,2.0,15,116,10,26,182.5,2,4,7,,78.00%,26906.0,8,"The demo saved us a lot of manual work, we'd like to see a pilot.",lack of visibility across teams,price too high,SSO integration,Incubate
CPT-1018,Workflow Automation Assistant 18,Legal Tech,Fraud Detection,Product Manager,6,6.0,CUST-2018,Startup,2024-05-27,6.0,0,0.0,1.0,26,288,19,46,206.1,3,5,7,5.0,52.00%,43915.0,4,"The sandbox trial exceeded expectations, several teams want access.",data lives in silos,integration complexity,API access,Reusable Asset
CPT-1019,Customer Support Assistant 19,Healthcare,Forecasting,Product Manager,4,1.0,CUST-2019,Startup,2024-07-01,1.3,0,0.0,5.0,10,100,0,7,30.7,3,2,2,1.0,36.00%,4088.0,9,Security and compliance review would be required before adoption.,reporting takes days not minutes,none,SSO integration,Archive
CPT-1020,Knowledge Search Assistant 20,Retail,Document Intelligence,Ops Manager,6,8.0,CUST-2020,Mid-Market,2024-07-17,8.6,1,1.0,2.0,17,120,7,39,234.7,1,9,7,6.0,63.00%,122762.0,2,"Not a priority right now, but worth revisiting next quarter.",reporting takes days not minutes,security review pending,multi-language support,MVP Build
CPT-1021,Compliance Monitoring Assistant 21,HR Tech,Personalization,IT Admin,6,5.0,CUST-2021,Startup,2024-09-27,7.4,1,0.0,1.0,22,168,29,41,161.2,4,7,6,9.0,100.00%,59614.0,7,"The sandbox trial exceeded expectations, several teams want access.",onboarding new staff is painful,security review pending,custom workflows,Customer Pilot
CPT-1022,Predictive Analytics Assistant 22,Healthcare,Document Intelligence,Product Manager,5,7.0,CUST-2022,Enterprise,2025-03-04,5.0,1,0.0,6.0,18,101,9,32,155.1,1,8,5,6.0,64.00%,34012.0,3,Interesting concept but we need to validate ROI before committing budget.,manual data entry is too slow,integration complexity,mobile access,Incubate
CPT-1023,Forecasting Assistant 23,Logistics,Predictive Analytics,Ops Manager,6,7.0,CUST-2023,Enterprise,2024-01-10,7.6,1,0.0,4.0,28,99,16,41,,0,10,7,5.0,73.00%,28075.0,4,Interesting concept but we need to validate ROI before committing budget.,compliance checks are manual,limited vendor track record,SSO integration,Customer Pilot
CPT-1024,Document Intelligence Assistant 24,Retail,Predictive Analytics,Executive Sponsor,8,8.0,CUST-2024,Mid-Market,2025-01-23,,1,0.0,0.0,32,214,19,43,270.5,1,8,7,6.0,,10407.0,6,Interesting concept but we need to validate ROI before committing budget.,too many false positives,none,mobile access,Customer Pilot
CPT-1025,Forecasting Assistant 25,EdTech,Personalization,Ops Manager,8,6.0,CUST-2025,Enterprise,2025-06-10,6.8,0,0.0,1.0,22,113,15,34,203.1,1,6,3,7.0,61.00%,22118.0,5,This solves a real pain point for our operations team.,too many false positives,security review pending,mobile access,Reusable Asset
CPT-1026,Knowledge Search Assistant 26,Retail,Predictive Analytics,IT Admin,5,5.0,CUST-2026,SMB,2024-06-21,3.2,1,1.0,4.0,6,35,1,17,130.2,4,3,4,5.0,21.00%,39247.0,4,"The demo saved us a lot of manual work, we'd like to see a pilot.",lack of visibility across teams,limited vendor track record,multi-language support,Archive
CPT-1027,Compliance Monitoring Assistant 27,Healthcare,Predictive Analytics,Frontline Agent,2,5.0,CUST-2027,Enterprise,2024-03-16,8.1,1,,0.0,27,128,26,44,232.8,3,7,6,,37.00%,67729.0,5,"We already have a similar tool, differentiation was unclear.",manual data entry is too slow,none,custom workflows,Customer Pilot
CPT-1028,Customer Support Assistant 28,Legal Tech,Predictive Analytics,Compliance Officer,5,4.0,CUST-2028,SMB,2024-12-22,4.3,0,0.0,4.0,16,152,8,32,100.3,2,4,4,7.0,83.00%,30080.0,8,"The sandbox trial exceeded expectations, several teams want access.",too many false positives,unclear ROI,role-based permissions,Archive
CPT-1029,Process Optimization Assistant 29,Retail,Forecasting,IT Admin,6,8.0,CUST-2029,Mid-Market,2025-02-18,8.1,0,1.0,0.0,32,321,16,51,215.2,2,8,7,6.0,76.00%,36866.0,4,"Our team was impressed with the automation, requesting a follow-up.",onboarding new staff is painful,none,offline mode,Customer Pilot
CPT-1030,Personalization Assistant 30,Consumer Apps,Forecasting,IT Admin,8,,CUST-2030,Mid-Market,2024-11-21,7.9,1,0.0,1.0,26,261,30,50,219.7,4,8,7,8.0,70.00%,29975.0,1,"We already have a similar tool, differentiation was unclear.",lack of visibility across teams,none,SSO integration,MVP Build
CPT-1031,Forecasting Assistant 31,Retail,Workflow Automation,Compliance Officer,5,8.0,CUST-2031,SMB,2024-09-27,8.4,1,1.0,1.0,20,146,24,34,213.8,3,8,9,8.0,76.00%,78736.0,2,"The demo saved us a lot of manual work, we'd like to see a pilot.",forecasts are unreliable,limited vendor track record,better reporting,MVP Build
CPT-1032,Customer Support Assistant 32,Legal Tech,Process Optimization,Frontline Agent,6,4.0,CUST-2032,Mid-Market,2024-12-04,5.6,0,0.0,0.0,4,30,10,31,174.2,4,6,6,5.0,21.00%,10133.0,5,Interesting concept but we need to validate ROI before committing budget.,too many tools that don't talk to each other,none,API access,Archive
CPT-1033,Customer Support Assistant 33,Legal Tech,Document Intelligence,Small Business Owner,5,8.0,CUST-2033,Enterprise,2024-10-08,7.2,1,0.0,4.0,21,238,23,29,90.2,2,6,4,4.0,47.00%,26400.0,6,Security and compliance review would be required before adoption.,too many false positives,security review pending,offline mode,Incubate
CPT-1034,Compliance Monitoring Assistant 34,EdTech,Predictive Analytics,Ops Manager,7,6.0,CUST-2034,SMB,2024-02-05,5.6,1,1.0,4.0,21,190,4,33,165.0,6,6,2,7.0,50.00%,31845.0,5,"We already have a similar tool, differentiation was unclear.",forecasts are unreliable,security review pending,role-based permissions,Archive
CPT-1035,Personalization Assistant 35,Healthcare,Customer Support,Compliance Officer,7,3.0,CUST-2035,Mid-Market,2025-02-12,1.6,0,0.0,5.0,7,79,1,5,0.0,8,2,5,3.0,17.00%,8415.0,9,"We already have a similar tool, differentiation was unclear.",reporting takes days not minutes,requires change management,multi-language support,Archive
CPT-1036,Fraud Detection Assistant 36,FinTech,Compliance Monitoring,Ops Manager,6,6.0,CUST-2036,Mid-Market,2024-05-17,4.9,1,0.0,0.0,4,12,10,24,161.9,1,5,7,8.0,75.00%,26859.0,4,"We already have a similar tool, differentiation was unclear.",too many false positives,none,offline mode,Incubate
CPT-1037,Predictive Analytics Assistant 37,FinTech,Personalization,IT Admin,6,9.0,CUST-2037,SMB,2024-05-24,6.0,1,1.0,5.0,26,124,20,42,237.4,6,5,6,9.0,87.00%,30468.0,7,"The sandbox trial exceeded expectations, several teams want access.",forecasts are unreliable,data privacy concerns,offline mode,Customer Pilot
CPT-1038,Customer Support Assistant 38,Consumer Apps,Workflow Automation,Executive Sponsor,4,7.0,CUST-2038,SMB,2024-10-01,8.1,1,1.0,2.0,20,203,24,52,212.6,0,10,8,6.0,48.00%,30024.0,2,"The sandbox trial exceeded expectations, several teams want access.",reporting takes days not minutes,security review pending,SSO integration,MVP Build
CPT-1039,Document Intelligence Assistant 39,HR Tech,Compliance Monitoring,Executive Sponsor,4,8.0,CUST-2039,Mid-Market,2024-04-18,9.2,1,0.0,0.0,35,371,30,40,247.5,0,10,7,7.0,73.00%,15220.0,5,Security and compliance review would be required before adoption.,reporting takes days not minutes,none,mobile access,MVP Build
CPT-1040,Fraud Detection Assistant 40,EdTech,Customer Support,Frontline Agent,8,6.0,CUST-2040,Startup,2025-06-08,2.8,1,0.0,6.0,5,33,0,22,23.2,7,4,5,4.0,68.00%,4880212.75,8,This solves a real pain point for our operations team.,reporting takes days not minutes,requires change management,role-based permissions,Archive
CPT-1041,Fraud Detection Assistant 41,Retail,Personalization,Frontline Agent,5,5.0,CUST-2041,Mid-Market,2024-09-08,8.7,0,0.0,0.0,38,320,21,44,232.2,3,9,9,7.0,70.00%,59280.0,5,This solves a real pain point for our operations team.,reporting takes days not minutes,none,role-based permissions,Customer Pilot
CPT-1042,Compliance Monitoring Assistant 42,HR Tech,Knowledge Search,IT Admin,8,,CUST-2042,SMB,2025-06-05,8.8,0,1.0,,40,178,25,52,246.9,2,8,7,5.0,48.00%,13640.0,6,"The sandbox trial exceeded expectations, several teams want access.",lack of visibility across teams,integration complexity,mobile access,Incubate
CPT-1043,Workflow Automation Assistant 43,Cybersecurity,Predictive Analytics,Ops Manager,4,5.0,CUST-2043,Mid-Market,2025-03-29,2.3,1,0.0,4.0,15,93,0,23,0.0,3,4,5,3.0,39.00%,15073.0,8,"Our team was impressed with the automation, requesting a follow-up.",reporting takes days not minutes,unclear ROI,mobile access,Archive
CPT-1044,Knowledge Search Assistant 44,FinTech,Compliance Monitoring,Ops Manager,4,3.0,CUST-2044,SMB,2025-03-07,2.7,0,0.0,4.0,12,101,10,12,,10,3,6,4.0,55.00%,18496.0,7,Security and compliance review would be required before adoption.,onboarding new staff is painful,none,offline mode,Archive
CPT-1045,Process Optimization Assistant 45,Consumer Apps,Fraud Detection,Small Business Owner,4,8.0,CUST-2045,SMB,2024-08-09,9.4,1,0.0,3.0,30,251,30,49,300.0,0,9,6,9.0,77.00%,30393.0,5,"We already have a similar tool, differentiation was unclear.",lack of visibility across teams,unclear ROI,API access,MVP Build
CPT-1046,Forecasting Assistant 46,Logistics,Workflow Automation,Executive Sponsor,6,6.0,CUST-2046,SMB,2024-04-01,7.2,1,0.0,4.0,29,155,21,42,281.8,3,8,7,6.0,86.00%,27435.0,7,"Our team was impressed with the automation, requesting a follow-up.",too many tools that don't talk to each other,integration complexity,custom workflows,Customer Pilot
CPT-1047,Compliance Monitoring Assistant 47,FinTech,Process Optimization,Ops Manager,5,4.0,CUST-2047,SMB,2024-05-08,3.2,1,1.0,5.0,5,57,2,20,192.5,9,2,4,4.0,37.00%,11676.0,4,"The sandbox trial exceeded expectations, several teams want access.",manual data entry is too slow,integration complexity,API access,Archive
CPT-1048,Process Optimization Assistant 48,HR Tech,Fraud Detection,IT Admin,4,6.0,CUST-2048,Startup,2024-09-15,5.6,1,0.0,1.0,8,33,17,35,103.7,4,7,4,4.0,28.00%,24146.0,3,"The demo saved us a lot of manual work, we'd like to see a pilot.",data lives in silos,data privacy concerns,role-based permissions,Incubate
CPT-1049,Personalization Assistant 49,Logistics,Document Intelligence,Frontline Agent,7,5.0,CUST-2049,SMB,2024-07-26,2.6,0,1.0,5.0,15,145,0,5,0.0,8,3,5,4.0,58.00%,36191.0,6,Security and compliance review would be required before adoption.,onboarding new staff is painful,none,role-based permissions,Archive
CPT-1050,Predictive Analytics Assistant 50,EdTech,Workflow Automation,Ops Manager,8,6.0,CUST-2050,SMB,2024-03-22,6.2,0,0.0,1.0,25,235,14,28,168.1,4,7,7,9.0,51.00%,33691.0,4,"We already have a similar tool, differentiation was unclear.",compliance checks are manual,data privacy concerns,multi-language support,Incubate
CPT-1051,Compliance Monitoring Assistant 51,FinTech,Fraud Detection,Executive Sponsor,6,9.0,CUST-2051,Mid-Market,2024-08-01,10.0,0,,0.0,40,395,21,60,300.0,0,9,7,9.0,100.00%,51338.0,3,"The demo saved us a lot of manual work, we'd like to see a pilot.",data lives in silos,none,custom workflows,MVP Build
CPT-1052,Document Intelligence Assistant 52,Healthcare,Personalization,Data Analyst,6,5.0,CUST-2052,Mid-Market,2024-01-06,7.6,1,1.0,0.0,33,183,25,45,1202.08,2,8,9,5.0,37.00%,18510.0,6,"The sandbox trial exceeded expectations, several teams want access.",too many tools that don't talk to each other,none,role-based permissions,Customer Pilot
CPT-1053,Predictive Analytics Assistant 53,EdTech,Workflow Automation,Product Manager,6,5.0,CUST-2053,Enterprise,2024-09-04,,0,1.0,7.0,16,172,13,24,70.4,9,6,4,2.0,42.00%,11706.0,6,"The demo saved us a lot of manual work, we'd like to see a pilot.",lack of visibility across teams,requires change management,SSO integration,Archive
CPT-1054,Workflow Automation Assistant 54,Manufacturing,Customer Support,Data Analyst,7,4.0,CUST-2054,SMB,2025-05-06,6.4,0,1.0,4.0,10,113,20,15,177.2,3,7,8,7.0,60.00%,12147.0,6,"We already have a similar tool, differentiation was unclear.",too many false positives,none,better reporting,Incubate
CPT-1055,Process Optimization Assistant 55,Consumer Apps,Compliance Monitoring,Executive Sponsor,5,7.0,CUST-2055,Mid-Market,2024-07-16,7.4,1,0.0,0.0,18,162,20,46,295.5,2,9,7,6.0,38.00%,25467.0,4,"Our team was impressed with the automation, requesting a follow-up.",reporting takes days not minutes,none,multi-language support,Customer Pilot
CPT-1056,Document Intelligence Assistant 56,Healthcare,Customer Support,Small Business Owner,8,4.0,CUST-2056,Enterprise,2025-05-28,3.7,1,1.0,1.0,12,45,0,11,114.1,3,4,5,3.0,25.00%,20531.0,7,Security and compliance review would be required before adoption.,too many false positives,limited vendor track record,mobile access,Archive
CPT-1057,Process Optimization Assistant 57,Logistics,Compliance Monitoring,IT Admin,5,7.0,CUST-2057,SMB,2024-12-05,7.8,0,0.0,2.0,26,139,17,49,117.2,2,8,6,7.0,54.00%,15276.0,8,"Our team was impressed with the automation, requesting a follow-up.",compliance checks are manual,data privacy concerns,SSO integration,Incubate
CPT-1058,Fraud Detection Assistant 58,FinTech,Workflow Automation,Ops Manager,6,4.0,CUST-2058,Mid-Market,2024-07-12,,0,0.0,2.0,21,105,15,32,222.6,1,4,5,9.0,73.00%,46833.0,5,"Our team was impressed with the automation, requesting a follow-up.",compliance checks are manual,security review pending,mobile access,Incubate
CPT-1059,Process Optimization Assistant 59,HR Tech,Customer Support,Compliance Officer,6,6.0,CUST-2059,SMB,2024-04-28,5.9,0,1.0,4.0,18,117,19,35,150.4,1,6,7,4.0,59.00%,10572.0,6,"We already have a similar tool, differentiation was unclear.",manual data entry is too slow,requires change management,API access,Reusable Asset
CPT-1060,Personalization Assistant 60,Manufacturing,Process Optimization,Compliance Officer,4,6.0,CUST-2060,Enterprise,2025-01-15,4.9,1,0.0,5.0,14,97,11,23,126.9,5,4,6,2.0,20.00%,15811.0,9,Security and compliance review would be required before adoption.,compliance checks are manual,integration complexity,API access,Archive
CPT-1061,Predictive Analytics Assistant 61,Healthcare,Personalization,Compliance Officer,2,,CUST-2061,Startup,2024-02-16,5.3,1,0.0,2.0,3,32,5,27,167.4,9,6,5,5.0,,17635.0,6,"We already have a similar tool, differentiation was unclear.",compliance checks are manual,none,API access,Archive
CPT-1062,Forecasting Assistant 62,HR Tech,Predictive Analytics,Ops Manager,4,4.0,CUST-2062,SMB,2024-04-04,5.3,1,0.0,4.0,22,264,3,34,207.3,3,5,4,6.0,46.00%,15753.0,7,"The sandbox trial exceeded expectations, several teams want access.",customer response times are too slow,limited vendor track record,better reporting,Archive
CPT-1063,Workflow Automation Assistant 63,HR Tech,Personalization,IT Admin,4,8.0,CUST-2063,Mid-Market,2024-07-26,9.4,1,1.0,0.0,26,178,20,47,300.0,0,10,6,9.0,74.00%,44770.0,2,This solves a real pain point for our operations team.,onboarding new staff is painful,none,multi-language support,MVP Build
CPT-1064,Knowledge Search Assistant 64,Logistics,Document Intelligence,Small Business Owner,6,7.0,CUST-2064,Startup,2024-03-14,5.7,1,0.0,2.0,16,79,11,34,81.7,1,6,7,6.0,59.00%,14169.0,4,"Not a priority right now, but worth revisiting next quarter.",data lives in silos,integration complexity,offline mode,Incubate
CPT-1065,Fraud Detection Assistant 65,HR Tech,Fraud Detection,IT Admin,8,3.0,CUST-2065,Mid-Market,2024-07-16,3.5,1,0.0,4.0,8,78,8,1,144.3,7,2,5,4.0,45.00%,21629.0,6,"We already have a similar tool, differentiation was unclear.",data lives in silos,integration complexity,mobile access,Archive
CPT-1066,Fraud Detection Assistant 66,Logistics,Forecasting,Compliance Officer,7,4.0,CUST-2066,Mid-Market,2025-06-23,3.6,0,0.0,4.0,15,126,13,14,85.6,4,5,4,6.0,,9197.0,9,"We already have a similar tool, differentiation was unclear.",compliance checks are manual,unclear ROI,SSO integration,Archive
CPT-1067,Workflow Automation Assistant 67,Retail,Process Optimization,Frontline Agent,8,10.0,CUST-2067,Startup,2024-05-22,9.8,1,0.0,2.0,40,301,30,60,,0,10,10,6.0,46.00%,18280.0,6,This solves a real pain point for our operations team.,too many tools that don't talk to each other,requires change management,mobile access,MVP Build
CPT-1068,Personalization Assistant 68,Manufacturing,Fraud Detection,Ops Manager,3,7.0,CUST-2068,Startup,2024-08-18,8.6,0,0.0,2.0,18,70,27,43,181.4,1,9,6,8.0,93.00%,33454.0,6,"The sandbox trial exceeded expectations, several teams want access.",forecasts are unreliable,limited vendor track record,better reporting,MVP Build
CPT-1069,Personalization Assistant 69,Retail,Fraud Detection,Executive Sponsor,4,5.0,CUST-2069,Mid-Market,2024-06-17,5.8,0,0.0,,27,114,24,36,173.5,5,7,6,8.0,58.00%,38956.0,4,Interesting concept but we need to validate ROI before committing budget.,lack of visibility across teams,integration complexity,better reporting,Incubate
CPT-1070,Personalization Assistant 70,FinTech,Document Intelligence,Small Business Owner,4,6.0,CUST-2070,Enterprise,2024-02-11,5.1,1,0.0,2.0,15,52,9,24,134.0,2,6,9,6.0,61.00%,28712.0,7,"Our team was impressed with the automation, requesting a follow-up.",reporting takes days not minutes,limited vendor track record,role-based permissions,Incubate
CPT-1071,Process Optimization Assistant 71,Retail,Personalization,Data Analyst,8,4.0,CUST-2071,Enterprise,2024-07-02,3.9,0,0.0,2.0,17,67,0,21,139.4,5,5,4,4.0,38.00%,3663.0,5,"Our team was impressed with the automation, requesting a follow-up.",forecasts are unreliable,none,better reporting,Archive
CPT-1072,Predictive Analytics Assistant 72,Cybersecurity,Process Optimization,Data Analyst,8,,CUST-2072,Mid-Market,2025-03-18,4.2,0,0.0,2.0,12,37,11,18,67.6,5,4,5,6.0,35.00%,17481.0,7,Security and compliance review would be required before adoption.,data lives in silos,price too high,mobile access,Archive
CPT-1073,Knowledge Search Assistant 73,Retail,Process Optimization,IT Admin,7,6.0,CUST-2073,Enterprise,2024-11-01,5.3,1,0.0,4.0,18,82,6,41,59.7,7,5,5,5.0,7.00%,24935.0,7,This solves a real pain point for our operations team.,forecasts are unreliable,data privacy concerns,custom workflows,Archive
CPT-1074,Fraud Detection Assistant 74,Manufacturing,Personalization,IT Admin,3,6.0,CUST-2074,Enterprise,2024-01-16,6.8,0,1.0,0.0,11,110,17,30,119.8,3,5,6,6.0,74.00%,28465.0,4,Interesting concept but we need to validate ROI before committing budget.,onboarding new staff is painful,none,multi-language support,Reusable Asset
CPT-1075,Process Optimization Assistant 75,Manufacturing,Workflow Automation,Ops Manager,4,3.0,CUST-2075,Mid-Market,2024-07-11,2.6,0,0.0,5.0,5,49,3,18,1227.53,9,4,5,5.0,41.00%,14763.0,10,"The sandbox trial exceeded expectations, several teams want access.",manual data entry is too slow,price too high,role-based permissions,Archive
CPT-1076,Predictive Analytics Assistant 76,FinTech,Predictive Analytics,Compliance Officer,4,7.0,CUST-2076,SMB,2024-03-11,8.9,0,1.0,1.0,26,258,27,43,211.8,2,8,6,8.0,84.00%,104087.0,7,Interesting concept but we need to validate ROI before committing budget.,manual data entry is too slow,integration complexity,better reporting,Customer Pilot
CPT-1077,Customer Support Assistant 77,Retail,Fraud Detection,Executive Sponsor,4,9.0,CUST-2077,SMB,2024-09-10,10.0,1,1.0,1.0,29,162,21,45,300.0,1,10,8,7.0,77.00%,34512.0,4,Interesting concept but we need to validate ROI before committing budget.,compliance checks are manual,data privacy concerns,API access,MVP Build
CPT-1078,Customer Support Assistant 78,Legal Tech,Personalization,Frontline Agent,5,3.0,CUST-2078,Mid-Market,2024-01-08,2.8,0,0.0,9.0,4,34,7,6,82.4,6,2,3,2.0,62.00%,14179.0,5,"We already have a similar tool, differentiation was unclear.",too many tools that don't talk to each other,limited vendor track record,API access,Archive
CPT-1079,Forecasting Assistant 79,HR Tech,Customer Support,Small Business Owner,3,6.0,CUST-2079,Mid-Market,2025-03-18,6.2,0,0.0,2.0,19,223,6,30,74.8,2,4,6,4.0,39.00%,13713.0,6,This solves a real pain point for our operations team.,data lives in silos,requires change management,SSO integration,Archive
CPT-1080,Fraud Detection Assistant 80,Consumer Apps,Knowledge Search,Compliance Officer,5,6.0,CUST-2080,Mid-Market,2024-10-19,8.9,1,1.0,2.0,29,162,28,39,102.6,0,8,8,5.0,43.00%,31460.0,3,Security and compliance review would be required before adoption.,too many tools that don't talk to each other,requires change management,mobile access,Customer Pilot
CPT-1081,Process Optimization Assistant 81,Legal Tech,Fraud Detection,Frontline Agent,4,7.0,CUST-2081,Enterprise,2024-11-08,7.6,0,0.0,1.0,29,105,16,37,185.6,0,7,8,5.0,47.00%,15062.0,5,Interesting concept but we need to validate ROI before committing budget.,customer response times are too slow,unclear ROI,multi-language support,Customer Pilot
CPT-1082,Workflow Automation Assistant 82,HR Tech,Predictive Analytics,Compliance Officer,5,4.0,CUST-2082,Mid-Market,2024-02-13,3.7,0,0.0,3.0,9,72,3,4,70.2,10,4,3,5.0,12.00%,16248.0,2,Security and compliance review would be required before adoption.,lack of visibility across teams,data privacy concerns,API access,Archive
CPT-1083,Customer Support Assistant 83,HR Tech,Predictive Analytics,Compliance Officer,7,9.0,CUST-2083,SMB,2024-08-28,7.7,1,0.0,1.0,31,279,10,48,268.7,0,9,7,6.0,0.00%,11442.0,4,This solves a real pain point for our operations team.,onboarding new staff is painful,unclear ROI,multi-language support,Customer Pilot
