Concept ID,Concept Name,Industry,Problem Area,Target User,Segment,Delivery Complexity (1-10),Strategic Fit (1-10),Feedback Score (1-10),Objections Count,Decision Maker Present,Follow-Up Requested,Trial Sessions,Feature Clicks,Repeat Usage Days,Active Users,Time Spent (min),Abandoned Features,Pilot Interest (1-10),Urgency Score (1-10),Budget Signal (1-10),Willingness To Pay (%),Expected Value ($),Implementation Risk (1-10),Engagement Score (%),Demand Intensity (%),Revenue Potential (%),Feasibility Score (%),Strategic Alignment (%),Repeatability Score (%),Confidence Indicator (%),Commercial Outcome
CPT-1025,Forecasting Assistant 25,EdTech,Personalization,Ops Manager,Enterprise,8,6.0,6.8,1.0,0.0,0,22,113,15,34,203.1,1,6,3,7.0,61.00%,22118.0,5,61.00%,29.00%,39.00%,22.00%,33.00%,53.00%,89.00%,Reusable Asset
CPT-1026,Knowledge Search Assistant 26,Retail,Predictive Analytics,IT Admin,SMB,5,5.0,3.2,4.0,1.0,1,6,35,1,17,130.2,4,3,4,5.0,21.00%,39247.0,4,24.00%,49.00%,31.00%,57.00%,67.00%,15.00%,58.00%,Archive
CPT-1027,Compliance Monitoring Assistant 27,Healthcare,Predictive Analytics,Frontline Agent,Enterprise,2,5.0,8.1,0.0,0.0,1,27,128,26,44,232.8,3,7,6,5.0,37.00%,67729.0,5,81.00%,73.00%,48.00%,82.00%,27.00%,80.00%,85.00%,Customer Pilot
CPT-1028,Customer Support Assistant 28,Legal Tech,Predictive Analytics,Compliance Officer,SMB,5,4.0,4.3,4.0,0.0,0,16,152,8,32,100.3,2,4,4,7.0,83.00%,30080.0,8,33.00%,23.00%,50.00%,39.00%,20.00%,40.00%,68.00%,Archive
CPT-1029,Process Optimization Assistant 29,Retail,Forecasting,IT Admin,Mid-Market,6,8.0,8.1,0.0,1.0,0,32,321,16,51,215.2,2,8,7,6.0,76.00%,36866.0,4,69.00%,51.00%,48.00%,47.00%,87.00%,69.00%,90.00%,Customer Pilot
CPT-1030,Personalization Assistant 30,Consumer Apps,Forecasting,IT Admin,Mid-Market,8,7.0,7.9,1.0,0.0,1,26,261,30,50,219.7,4,8,7,8.0,70.00%,29975.0,1,83.00%,81.00%,48.00%,40.00%,40.00%,92.00%,74.00%,MVP Build
CPT-1031,Forecasting Assistant 31,Retail,Workflow Automation,Compliance Officer,SMB,5,8.0,8.4,1.0,1.0,1,20,146,24,34,213.8,3,8,9,8.0,76.00%,78736.0,2,78.00%,88.00%,72.00%,66.00%,87.00%,68.00%,79.00%,MVP Build
CPT-1032,Customer Support Assistant 32,Legal Tech,Process Optimization,Frontline Agent,Mid-Market,6,4.0,5.6,0.0,0.0,0,4,30,10,31,174.2,4,6,6,5.0,21.00%,10133.0,5,48.00%,39.00%,18.00%,42.00%,20.00%,42.00%,80.00%,Archive
CPT-1033,Customer Support Assistant 33,Legal Tech,Document Intelligence,Small Business Owner,Enterprise,5,8.0,7.2,4.0,0.0,1,21,238,23,29,90.2,2,6,4,4.0,47.00%,26400.0,6,60.00%,62.00%,31.00%,48.00%,47.00%,62.00%,68.00%,Incubate
CPT-1034,Compliance Monitoring Assistant 34,EdTech,Predictive Analytics,Ops Manager,SMB,7,6.0,5.6,4.0,1.0,1,21,190,4,33,165.0,6,6,2,7.0,50.00%,31845.0,5,41.00%,56.00%,41.00%,32.00%,73.00%,34.00%,48.00%,Archive
CPT-1035,Personalization Assistant 35,Healthcare,Customer Support,Compliance Officer,Mid-Market,7,3.0,1.6,5.0,0.0,0,7,79,1,5,0.0,8,2,5,3.0,17.00%,8415.0,9,4.00%,18.00%,11.00%,14.00%,13.00%,5.00%,32.00%,Archive
CPT-1036,Fraud Detection Assistant 36,FinTech,Compliance Monitoring,Ops Manager,Mid-Market,6,6.0,4.9,0.0,0.0,1,4,12,10,24,161.9,1,5,7,8.0,75.00%,26859.0,4,44.00%,68.00%,48.00%,47.00%,33.00%,36.00%,95.00%,Incubate
CPT-1037,Predictive Analytics Assistant 37,FinTech,Personalization,IT Admin,SMB,6,9.0,6.0,5.0,1.0,1,26,124,20,42,237.4,6,5,6,9.0,87.00%,30468.0,7,66.00%,64.00%,55.00%,33.00%,93.00%,68.00%,42.00%,Customer Pilot
CPT-1038,Customer Support Assistant 38,Consumer Apps,Workflow Automation,Executive Sponsor,SMB,4,7.0,8.1,2.0,1.0,1,20,203,24,52,212.6,0,10,8,6.0,48.00%,30024.0,2,77.00%,93.00%,37.00%,76.00%,80.00%,83.00%,89.00%,MVP Build
CPT-1039,Document Intelligence Assistant 39,HR Tech,Compliance Monitoring,Executive Sponsor,Mid-Market,4,8.0,9.2,0.0,0.0,1,35,371,30,40,247.5,0,10,7,7.0,73.00%,15220.0,5,91.00%,90.00%,40.00%,62.00%,47.00%,83.00%,100.00%,MVP Build
CPT-1040,Fraud Detection Assistant 40,EdTech,Customer Support,Frontline Agent,Startup,8,6.0,2.8,6.0,0.0,1,5,33,0,22,23.2,7,4,5,4.0,68.00%,115798.18,8,10.00%,57.00%,77.00%,9.00%,33.00%,18.00%,32.00%,Archive
CPT-1041,Fraud Detection Assistant 41,Retail,Personalization,Frontline Agent,Mid-Market,5,5.0,8.7,0.0,0.0,0,38,320,21,44,232.2,3,9,9,7.0,70.00%,59280.0,5,78.00%,62.00%,59.00%,52.00%,27.00%,71.00%,85.00%,Customer Pilot
CPT-1042,Compliance Monitoring Assistant 42,HR Tech,Knowledge Search,IT Admin,SMB,8,6.0,8.8,3.0,1.0,0,40,178,25,52,246.9,2,8,7,5.0,48.00%,13640.0,6,84.00%,51.00%,27.00%,18.00%,73.00%,85.00%,73.00%,Incubate
CPT-1043,Workflow Automation Assistant 43,Cybersecurity,Predictive Analytics,Ops Manager,Mid-Market,4,5.0,2.3,4.0,0.0,1,15,93,0,23,0.0,3,4,5,3.0,39.00%,15073.0,8,6.00%,57.00%,21.00%,49.00%,27.00%,19.00%,63.00%,Archive
CPT-1044,Knowledge Search Assistant 44,FinTech,Compliance Monitoring,Ops Manager,SMB,4,3.0,2.7,4.0,0.0,0,12,101,10,12,169.6,10,3,6,4.0,55.00%,18496.0,7,35.00%,26.00%,29.00%,53.00%,13.00%,26.00%,28.00%,Archive
CPT-1045,Process Optimization Assistant 45,Consumer Apps,Fraud Detection,Small Business Owner,SMB,4,8.0,9.4,3.0,0.0,1,30,251,30,49,300.0,0,9,6,9.0,77.00%,30393.0,5,97.00%,82.00%,52.00%,62.00%,47.00%,91.00%,83.00%,MVP Build
CPT-1046,Forecasting Assistant 46,Logistics,Workflow Automation,Executive Sponsor,SMB,6,6.0,7.2,4.0,0.0,1,29,155,21,42,281.8,3,8,7,6.0,86.00%,27435.0,7,77.00%,81.00%,47.00%,33.00%,33.00%,70.00%,63.00%,Customer Pilot
CPT-1047,Compliance Monitoring Assistant 47,FinTech,Process Optimization,Ops Manager,SMB,5,4.0,3.2,5.0,1.0,1,5,57,2,20,192.5,9,2,4,4.0,37.00%,11676.0,4,31.00%,44.00%,21.00%,57.00%,60.00%,19.00%,27.00%,Archive
CPT-1048,Process Optimization Assistant 48,HR Tech,Fraud Detection,IT Admin,Startup,4,6.0,5.6,1.0,0.0,1,8,33,17,35,103.7,4,7,4,4.0,28.00%,24146.0,3,48.00%,67.00%,24.00%,71.00%,33.00%,57.00%,74.00%,Incubate
CPT-1049,Personalization Assistant 49,Logistics,Document Intelligence,Frontline Agent,SMB,7,5.0,2.6,5.0,1.0,0,15,145,0,5,0.0,8,3,5,4.0,58.00%,36191.0,6,7.00%,22.00%,38.00%,28.00%,67.00%,3.00%,32.00%,Archive
CPT-1050,Predictive Analytics Assistant 50,EdTech,Workflow Automation,Ops Manager,SMB,8,6.0,6.2,1.0,0.0,0,25,235,14,28,168.1,4,7,7,9.0,51.00%,33691.0,4,54.00%,47.00%,46.00%,27.00%,33.00%,46.00%,74.00%,Incubate
CPT-1051,Compliance Monitoring Assistant 51,FinTech,Fraud Detection,Executive Sponsor,Mid-Market,6,9.0,10.0,0.0,0.0,0,40,395,21,60,300.0,0,9,7,9.0,100.00%,51338.0,3,91.00%,56.00%,69.00%,51.00%,53.00%,85.00%,100.00%,MVP Build
CPT-1052,Document Intelligence Assistant 52,Healthcare,Personalization,Data Analyst,Mid-Market,6,5.0,7.6,0.0,1.0,1,33,183,25,45,300.0,2,8,9,5.0,37.00%,18510.0,6,84.00%,88.00%,26.00%,38.00%,67.00%,79.00%,90.00%,Customer Pilot
CPT-1053,Predictive Analytics Assistant 53,EdTech,Workflow Automation,Product Manager,Enterprise,6,5.0,5.6,7.0,1.0,0,16,172,13,24,70.4,9,6,4,2.0,42.00%,11706.0,6,40.00%,32.00%,18.00%,38.00%,67.00%,41.00%,16.00%,Archive
CPT-1054,Workflow Automation Assistant 54,Manufacturing,Customer Support,Data Analyst,SMB,7,4.0,6.4,4.0,1.0,0,10,113,20,15,177.2,3,7,8,7.0,60.00%,12147.0,6,62.00%,50.00%,35.00%,28.00%,60.00%,45.00%,63.00%,Incubate
CPT-1055,Process Optimization Assistant 55,Consumer Apps,Compliance Monitoring,Executive Sponsor,Mid-Market,5,7.0,7.4,0.0,0.0,1,18,162,20,46,295.5,2,9,7,6.0,38.00%,25467.0,4,78.00%,86.00%,32.00%,57.00%,40.00%,71.00%,90.00%,Customer Pilot
CPT-1056,Document Intelligence Assistant 56,Healthcare,Customer Support,Small Business Owner,Enterprise,8,4.0,3.7,1.0,1.0,1,12,45,0,11,114.1,3,4,5,3.0,25.00%,20531.0,7,23.00%,57.00%,19.00%,13.00%,60.00%,8.00%,79.00%,Archive
CPT-1057,Process Optimization Assistant 57,Logistics,Compliance Monitoring,IT Admin,SMB,5,7.0,7.8,2.0,0.0,0,26,139,17,49,117.2,2,8,6,7.0,54.00%,15276.0,8,59.00%,48.00%,34.00%,39.00%,40.00%,69.00%,79.00%,Incubate
CPT-1058,Fraud Detection Assistant 58,FinTech,Workflow Automation,Ops Manager,Mid-Market,6,4.0,6.0,2.0,0.0,0,21,105,15,32,222.6,1,4,5,9.0,73.00%,46833.0,5,59.00%,27.00%,59.00%,42.00%,20.00%,51.00%,84.00%,Incubate
CPT-1059,Process Optimization Assistant 59,HR Tech,Customer Support,Compliance Officer,SMB,6,6.0,5.9,4.0,1.0,0,18,117,19,35,150.4,1,6,7,4.0,59.00%,10572.0,6,56.00%,42.00%,27.00%,38.00%,73.00%,60.00%,73.00%,Reusable Asset
CPT-1060,Personalization Assistant 60,Manufacturing,Process Optimization,Compliance Officer,Enterprise,4,6.0,4.9,5.0,0.0,1,14,97,11,23,126.9,5,4,6,2.0,20.00%,15811.0,9,41.00%,60.00%,13.00%,44.00%,33.00%,37.00%,47.00%,Archive
CPT-1061,Predictive Analytics Assistant 61,Healthcare,Personalization,Compliance Officer,Startup,2,5.0,5.3,2.0,0.0,1,3,32,5,27,167.4,9,6,5,5.0,44.00%,17635.0,6,41.00%,66.00%,28.00%,78.00%,27.00%,30.00%,44.00%,Archive
CPT-1062,Forecasting Assistant 62,HR Tech,Predictive Analytics,Ops Manager,SMB,4,4.0,5.3,4.0,0.0,1,22,264,3,34,207.3,3,5,4,6.0,46.00%,15753.0,7,43.00%,58.00%,30.00%,53.00%,20.00%,33.00%,63.00%,Archive
CPT-1063,Workflow Automation Assistant 63,HR Tech,Personalization,IT Admin,Mid-Market,4,8.0,9.4,0.0,1.0,1,26,178,20,47,300.0,0,10,6,9.0,74.00%,44770.0,2,87.00%,87.00%,58.00%,76.00%,87.00%,72.00%,100.00%,MVP Build
CPT-1064,Knowledge Search Assistant 64,Logistics,Document Intelligence,Small Business Owner,Startup,6,7.0,5.7,2.0,0.0,1,16,79,11,34,81.7,1,6,7,6.0,59.00%,14169.0,4,40.00%,72.00%,33.00%,47.00%,40.00%,46.00%,84.00%,Incubate
CPT-1065,Fraud Detection Assistant 65,HR Tech,Fraud Detection,IT Admin,Mid-Market,8,3.0,3.5,4.0,0.0,1,8,78,8,1,144.3,7,2,5,4.0,45.00%,21629.0,6,34.00%,48.00%,28.00%,18.00%,13.00%,13.00%,43.00%,Archive
CPT-1066,Fraud Detection Assistant 66,Logistics,Forecasting,Compliance Officer,Mid-Market,7,4.0,3.6,4.0,0.0,0,15,126,13,14,85.6,4,5,4,6.0,53.00%,9197.0,9,33.00%,28.00%,29.00%,14.00%,20.00%,33.00%,58.00%,Archive
CPT-1067,Workflow Automation Assistant 67,Retail,Process Optimization,Frontline Agent,Startup,8,10.0,9.8,2.0,0.0,1,40,301,30,60,203.8,0,10,10,6.0,46.00%,18280.0,6,89.00%,100.00%,31.00%,18.00%,60.00%,100.00%,89.00%,MVP Build
CPT-1068,Personalization Assistant 68,Manufacturing,Fraud Detection,Ops Manager,Startup,3,7.0,8.6,2.0,0.0,0,18,70,27,43,181.4,1,9,6,8.0,93.00%,33454.0,6,79.00%,52.00%,56.00%,68.00%,40.00%,81.00%,84.00%,MVP Build
CPT-1069,Personalization Assistant 69,Retail,Fraud Detection,Executive Sponsor,Mid-Market,4,5.0,5.8,1.0,0.0,0,27,114,24,36,173.5,5,7,6,8.0,58.00%,38956.0,4,63.00%,43.00%,48.00%,67.00%,27.00%,70.00%,69.00%,Incubate
CPT-1070,Personalization Assistant 70,FinTech,Document Intelligence,Small Business Owner,Enterprise,4,6.0,5.1,2.0,0.0,1,15,52,9,24,134.0,2,6,9,6.0,61.00%,28712.0,7,41.00%,79.00%,40.00%,53.00%,33.00%,34.00%,79.00%,Incubate
CPT-1071,Process Optimization Assistant 71,Retail,Personalization,Data Analyst,Enterprise,8,4.0,3.9,2.0,0.0,0,17,67,0,21,139.4,5,5,4,4.0,38.00%,4772.49,5,27.00%,28.00%,18.00%,22.00%,20.00%,17.00%,64.00%,Archive
CPT-1072,Predictive Analytics Assistant 72,Cybersecurity,Process Optimization,Data Analyst,Mid-Market,8,6.0,4.2,2.0,0.0,0,12,37,11,18,67.6,5,4,5,6.0,35.00%,17481.0,7,32.00%,27.00%,27.00%,13.00%,33.00%,33.00%,64.00%,Archive
CPT-1073,Knowledge Search Assistant 73,Retail,Process Optimization,IT Admin,Enterprise,7,6.0,5.3,4.0,0.0,1,18,82,6,41,59.7,7,5,5,5.0,7.00%,24935.0,7,31.00%,61.00%,20.00%,23.00%,33.00%,44.00%,43.00%,Archive
CPT-1074,Fraud Detection Assistant 74,Manufacturing,Personalization,IT Admin,Enterprise,3,6.0,6.8,0.0,1.0,0,11,110,17,30,119.8,3,5,6,6.0,74.00%,28465.0,4,55.00%,34.00%,44.00%,77.00%,73.00%,53.00%,85.00%,Reusable Asset
CPT-1075,Process Optimization Assistant 75,Manufacturing,Workflow Automation,Ops Manager,Mid-Market,4,3.0,2.6,5.0,0.0,0,5,49,3,18,300.0,9,4,5,5.0,41.00%,14763.0,10,40.00%,27.00%,26.00%,40.00%,13.00%,19.00%,27.00%,Archive
CPT-1076,Predictive Analytics Assistant 76,FinTech,Predictive Analytics,Compliance Officer,SMB,4,7.0,8.9,1.0,1.0,0,26,258,27,43,211.8,2,8,6,8.0,84.00%,104087.0,7,83.00%,48.00%,85.00%,53.00%,80.00%,81.00%,84.00%,Customer Pilot
CPT-1077,Customer Support Assistant 77,Retail,Fraud Detection,Executive Sponsor,SMB,4,9.0,10.0,1.0,1.0,1,29,162,21,45,300.0,1,10,8,7.0,77.00%,34512.0,4,91.00%,93.00%,50.00%,67.00%,93.00%,72.00%,89.00%,MVP Build
CPT-1078,Customer Support Assistant 78,Legal Tech,Personalization,Frontline Agent,Mid-Market,5,3.0,2.8,9.0,0.0,0,4,34,7,6,82.4,6,2,3,2.0,62.00%,14179.0,5,23.00%,11.00%,25.00%,52.00%,13.00%,16.00%,20.00%,Archive
CPT-1079,Forecasting Assistant 79,HR Tech,Customer Support,Small Business Owner,Mid-Market,3,6.0,6.2,2.0,0.0,0,19,223,6,30,74.8,2,4,6,4.0,39.00%,13713.0,6,37.00%,30.00%,22.00%,68.00%,33.00%,35.00%,79.00%,Archive
CPT-1080,Fraud Detection Assistant 80,Consumer Apps,Knowledge Search,Compliance Officer,Mid-Market,5,6.0,8.9,2.0,1.0,1,29,162,28,39,102.6,0,8,8,5.0,43.00%,31460.0,3,73.00%,84.00%,34.00%,61.00%,73.00%,79.00%,89.00%,Customer Pilot
CPT-1081,Process Optimization Assistant 81,Legal Tech,Fraud Detection,Frontline Agent,Enterprise,4,7.0,7.6,1.0,0.0,0,29,105,16,37,185.6,0,7,8,5.0,47.00%,15062.0,5,64.00%,50.00%,28.00%,62.00%,40.00%,57.00%,94.00%,Customer Pilot
CPT-1082,Workflow Automation Assistant 82,HR Tech,Predictive Analytics,Compliance Officer,Mid-Market,5,4.0,3.7,3.0,0.0,0,9,72,3,4,70.2,10,4,3,5.0,12.00%,16248.0,2,22.00%,20.00%,18.00%,66.00%,20.00%,8.00%,33.00%,Archive
CPT-1083,Customer Support Assistant 83,HR Tech,Predictive Analytics,Compliance Officer,SMB,7,9.0,7.7,1.0,0.0,1,31,279,10,48,268.7,0,9,7,6.0,0.00%,11442.0,4,67.00%,86.00%,14.00%,37.00%,53.00%,56.00%,94.00%,Customer Pilot
CPT-1084,Customer Support Assistant 84,FinTech,Predictive Analytics,Executive Sponsor,Mid-Market,4,7.0,9.2,3.0,1.0,1,22,155,30,52,299.1,0,10,7,8.0,70.00%,20117.0,5,96.00%,90.00%,43.00%,62.00%,80.00%,93.00%,83.00%,MVP Build
CPT-1085,Compliance Monitoring Assistant 85,Consumer Apps,Process Optimization,Executive Sponsor,SMB,6,5.0,2.9,1.0,1.0,1,11,38,3,3,70.9,9,3,6,2.0,0.00%,4859.0,7,19.00%,56.00%,2.00%,33.00%,67.00%,7.00%,49.00%,Archive
CPT-1086,Personalization Assistant 86,FinTech,Fraud Detection,Ops Manager,Enterprise,3,3.0,4.1,3.0,0.0,1,10,107,5,18,45.4,3,5,7,4.0,50.00%,63145.0,4,23.00%,68.00%,48.00%,77.00%,13.00%,23.00%,68.00%,Archive
CPT-1087,Document Intelligence Assistant 87,Healthcare,Compliance Monitoring,Data Analyst,SMB,4,7.0,6.2,5.0,0.0,0,13,100,11,60,192.1,3,6,6,5.0,41.00%,11892.0,5,53.00%,39.00%,24.00%,62.00%,40.00%,68.00%,57.00%,Reusable Asset
CPT-1088,Process Optimization Assistant 88,Logistics,Predictive Analytics,Small Business Owner,SMB,4,5.0,5.0,3.0,1.0,0,23,131,8,37,142.1,5,5,7,6.0,68.00%,20482.0,5,40.00%,38.00%,39.00%,62.00%,67.00%,44.00%,58.00%,Archive
CPT-1089,Document Intelligence Assistant 89,HR Tech,Workflow Automation,Product Manager,SMB,7,4.0,5.8,3.0,1.0,1,7,78,9,12,240.7,7,6,4,7.0,87.00%,13350.0,3,54.00%,62.00%,43.00%,41.00%,60.00%,24.00%,48.00%,Incubate
CPT-1090,Process Optimization Assistant 90,Consumer Apps,Personalization,IT Admin,SMB,4,5.0,5.3,0.0,1.0,0,17,147,21,36,183.9,0,6,5,6.0,77.00%,14882.0,3,59.00%,36.00%,39.00%,71.00%,67.00%,65.00%,100.00%,Reusable Asset
CPT-1091,Compliance Monitoring Assistant 91,EdTech,Fraud Detection,IT Admin,Enterprise,3,8.0,8.9,2.0,1.0,0,28,327,30,59,300.0,0,10,6,7.0,59.00%,29661.0,5,95.00%,57.00%,42.00%,72.00%,87.00%,99.00%,89.00%,MVP Build
CPT-1092,Customer Support Assistant 92,Healthcare,Fraud Detection,Data Analyst,Startup,6,5.0,3.4,4.0,0.0,0,0,0,5,1,158.9,6,3,2,3.0,50.00%,16736.0,6,32.00%,12.00%,25.00%,38.00%,27.00%,8.00%,48.00%,Archive
CPT-1093,Process Optimization Assistant 93,Healthcare,Fraud Detection,Frontline Agent,SMB,6,7.0,8.5,3.0,0.0,0,31,293,20,50,152.8,2,9,6,6.0,52.00%,18797.0,7,69.00%,52.00%,33.00%,33.00%,40.00%,75.00%,73.00%,Customer Pilot
CPT-1094,Process Optimization Assistant 94,Manufacturing,Customer Support,Data Analyst,Mid-Market,8,5.0,2.9,3.0,0.0,0,15,158,0,23,197.4,7,2,5,5.0,69.00%,57472.0,10,28.00%,18.00%,53.00%,0.00%,27.00%,19.00%,48.00%,Archive
